OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10 
+,949,147,212,310,486,888,537,343,67,955
+,1054,604,774,384,90,6,419,654,936,279
+,184,179,569,473,727,581,773,936,140,204
+,1168,852,390,296,567,502,43,842,846,309
+,1024,599,311,505,572,757,474,229,27,810
+,925,157,268,307,978,655,854,651,483,127
+,1422,681,914,294,427,183,503,928,704,660
+,250,29,122,783,283,504,993,68,613,763
+,1337,595,492,579,446,889,264,643,702,487
+,441,710,837,122,382,524,750,589,17,865
+,383,166,595,59,149,327,472,899,709,138
+,1084,167,54,279,369,429,651,933,978,364
+,300,296,298,542,654,958,78,526,198,784
+,57,187,783,96,613,770,171,556,330,893
+,1465,846,865,701,819,308,277,701,714,704
+,47,98,547,593,360,843,147,13,140,530
+,1907,381,797,496,421,348,943,932,166,104
+,306,158,515,226,851,192,814,918,572,628
+,1725,851,975,538,866,544,729,564,719,774
+,170,116,427,471,938,78,119,838,134,945
+,454,491,356,319,707,371,142,836,452,911
+,1414,535,781,993,350,176,726,311,29,762
+,1284,121,227,131,877,710,145,704,232,314
+,648,214,133,80,435,707,781,802,114,79
+,100,793,495,775,441,43,201,110,33,812
+,444,525,607,60,480,121,930,259,44,67
+,92,683,10,772,98,801,126,942,616,210
+,232,922,204,189,686,359,29,92,149,866
+,1896,964,284,971,593,356,360,164,875,512
+,700,746,627,247,517,583,69,101,839,592
+,1957,14,541,222,732,196,987,288,175,923
+,240,550,4,996,742,101,946,219,942,516
+,70,724,486,375,714,603,189,450,689,980
+,632,185,854,363,388,434,219,526,233,417
+,36,779,321,126,477,112,532,139,507,780
+,1213,721,295,570,739,41,84,335,505,118
+,1145,290,467,614,753,319,703,999,861,454
+,1945,567,417,297,875,438,193,877,71,916
+,641,821,487,961,695,376,183,13,690,503
+,324,107,405,448,535,674,692,87,122,146
+,1882,410,711,604,104,759,947,913,172,66
+,1456,998,203,346,205,609,864,413,125,238
+,1215,434,742,511,285,783,730,784,595,607
+,336,774,808,820,659,965,409,364,487,682
+,1502,972,414,496,523,285,150,786,465,110
+,1139,256,501,509,236,643,965,137,30,101
+,1344,54,850,69,510,694,27,995,183,391
+,709,695,334,156,310,636,638,98,778,78
+,1614,769,532,785,504,811,477,206,300,677
+,346,502,516,267,555,351,828,880,553,559
+,1551,975,782,32,440,901,936,121,392,460
+,1288,873,385,453,470,36,33,181,570,675
+,76,798,310,905,723,168,503,441,137,319
+,1290,398,499,782,112,582,691,502,675,567
+,1225,552,585,481,487,575,874,160,518,57
+,419,269,506,605,994,386,631,692,361,784
+,147,328,62,28,604,46,131,857,375,357
+,1085,759,597,27,783,912,640,349,389,99
+,15,353,365,421,359,57,677,250,253,240
+,847,319,606,86,932,704,67,889,312,117
+,1846,173,20,551,333,38,471,673,884,432
+,785,527,923,431,273,20,712,480,602,22
+,450,386,584,399,330,586,100,827,500,102
+,1228,691,210,344,508,514,830,783,683,347
+,339,629,306,372,992,446,206,508,650,867
+,604,806,77,860,870,548,219,294,271,48
+,1198,587,411,823,231,639,760,980,94,734
+,129,592,97,606,344,279,68,580,820,543
+,916,437,214,355,814,78,667,843,309,516
+,1862,307,443,679,552,320,204,424,411,257
+,1181,527,464,687,781,560,184,902,19,642
+,1019,528,883,191,590,511,218,676,985,843
+,679,960,478,274,959,653,545,828,629,873
+,1542,928,444,957,579,744,641,61,534,205
+,390,473,151,246,154,764,701,783,307,864
+,853,420,326,880,850,933,65,649,208,866
+,1805,273,843,293,661,164,262,703,615,241
+,762,244,116,153,196,28,251,816,847,317
+,1302,497,573,446,432,662,927,37,206,163
+,44,139,29,264,808,822,284,674,563,180
+,420,872,43,986,739,497,801,20,56,880
+,794,85,321,616,305,887,65,922,978,416
+,1020,372,687,673,906,92,406,965,859,741
+,1397,143,241,114,584,752,512,955,123,534
+,1334,848,594,972,793,953,537,257,508,905
+,1097,243,614,125,791,826,320,337,852,598
+,1550,399,825,766,761,241,957,433,223,147
+,1685,179,219,993,281,450,418,260,883,603
+,329,502,546,383,716,971,115,324,558,433
+,1444,699,252,986,284,900,803,959,148,371
+,386,732,376,841,315,21,660,990,926,620
+,1928,861,757,678,818,963,55,707,939,807
+,1311,245,259,565,393,316,654,981,717,371
+,868,831,701,124,547,887,242,878,453,397
+,1643,931,983,402,949,939,261,308,92,958
+,353,774,241,304,215,880,911,164,937,449
+,495,324,900,831,785,659,416,808,34,280
+,551,82,842,798,963,503,482,754,422,948
+,1993,340,734,432,897,940,839,102,844,164
+,1004,267,518,67,360,430,616,746,832,560
+,1364,334,464,711,28,780,53,656,656,188
+,675,454,810,656,139,3,410,204,643,312
+,593,589,84,113,161,255,528,730,992,786
+,959,664,781,133,867,608,702,420,811,961
+,1056,462,489,894,752,136,266,177,703,607
+,1766,335,818,288,203,86,424,376,186,402
+,289,386,967,854,905,584,229,21,970,23
+,2,571,662,626,641,234,928,91,997,473
+,886,268,718,872,172,50,410,632,439,614
+,519,152,91,981,376,174,969,580,120,14
+,1017,538,445,791,942,950,464,847,689,506
+,348,229,730,208,195,968,882,832,800,272
+,424,764,506,391,133,441,876,211,614,220
+,808,289,744,693,193,428,184,418,811,149
+,909,297,999,268,241,632,461,929,254,378
+,282,700,662,469,87,10,480,136,892,331
+,71,709,407,703,217,730,392,725,433,753
+,1595,262,74,97,570,60,53,340,953,240
+,1728,930,362,620,961,686,990,821,612,726
+,520,829,46,5,259,516,634,390,309,1000
+,1534,687,379,135,991,913,572,42,594,183
+,195,173,515,504,952,347,898,479,135,91
+,1095,727,543,443,145,266,119,320,45,130
+,1562,892,996,854,287,765,369,948,440,289
+,1324,897,269,627,849,779,948,270,529,320
+,467,914,168,323,754,503,782,972,154,569
+,249,945,673,651,817,450,54,193,152,55
+,483,187,36,481,266,167,722,478,446,118
+,1126,949,506,41,452,365,726,574,496,468
+,1041,115,866,737,887,151,126,357,95,208
+,279,290,184,854,172,767,520,842,279,576
+,722,679,599,217,597,994,4,538,785,584
+,1408,426,942,78,252,786,510,693,96,908
+,298,26,291,697,696,124,403,382,604,951
+,733,108,857,331,157,29,83,471,850,724
+,1152,491,464,643,978,275,608,673,5,337
+,157,44,671,637,973,463,332,970,749,751
+,1051,980,816,582,132,216,883,49,820,659
+,1075,330,817,56,761,72,560,974,616,390
+,1637,408,261,182,245,988,789,886,408,91
+,1555,872,213,166,397,798,412,291,662,770
+,1601,669,157,123,305,502,820,442,753,825
+,1380,317,925,701,617,134,367,681,98,852
+,1006,524,204,501,456,906,397,487,274,576
+,95,433,92,774,432,830,377,628,190,444
+,417,436,95,41,525,349,996,474,692,229
+,1485,702,730,158,953,507,539,644,662,537
+,1713,297,479,447,81,928,820,489,307,152
+,564,700,924,307,861,254,535,437,302,582
+,1849,564,78,939,46,525,110,522,435,422
+,162,475,676,737,582,832,259,363,260,599
+,1383,787,515,16,116,758,677,473,183,805
+,1591,863,402,46,85,426,897,721,304,321
+,1329,741,465,775,686,460,638,827,271,349
+,623,940,892,829,191,216,189,80,764,618
+,645,892,689,108,444,547,18,5,404,119
+,29,175,671,488,471,708,414,889,673,988
+,1611,616,743,498,310,633,832,997,631,369
+,496,689,986,706,691,404,823,309,89,128
+,715,14,195,114,835,16,712,993,192,879
+,1261,214,492,664,148,665,247,446,862,641
+,294,808,551,195,88,308,788,474,151,485
+,134,22,119,170,924,156,756,719,455,986
+,1710,482,20,880,460,599,248,206,301,583
+,1314,853,401,52,341,8,105,645,867,730
+,1188,425,868,507,754,592,610,748,567,297
+,1366,499,409,497,525,605,742,626,957,694
+,1661,836,888,499,237,731,62,540,19,432
+,1230,323,566,65,274,914,663,427,910,484
+,1015,506,637,961,661,355,459,714,446,21
+,1317,294,743,196,480,352,448,237,519,224
+,950,930,701,347,943,616,873,862,732,672
+,1190,134,904,300,740,728,399,982,426,853
+,370,689,668,752,368,815,483,818,994,864
+,1509,636,212,289,707,767,88,683,494,132
+,192,204,160,620,503,103,812,425,965,505
+,1234,240,214,570,48,18,367,902,267,365
+,1350,162,178,847,880,915,515,32,826,65
+,1786,440,116,632,232,123,575,229,498,264
+,555,803,363,787,47,788,898,570,273,917
+,1800,873,706,894,527,618,685,106,723,51
+,673,968,448,818,468,985,861,773,113,998
+,1772,800,625,624,800,878,970,104,843,575
+,1295,519,107,171,645,120,891,210,932,370
+,526,745,299,725,452,780,518,510,750,891
+,885,157,662,372,342,838,141,125,868,206
+,413,992,425,787,787,6,251,854,828,485
+,791,293,517,175,87,272,381,732,772,424
+,1761,644,680,251,155,771,771,542,431,806
+,331,141,821,439,423,940,419,919,469,974
+,1076,528,813,698,370,966,30,453,149,788
+,1602,734,825,529,966,71,86,346,322,411
+,1517,168,444,62,402,777,37,676,944,656
+,1773,924,588,59,646,730,818,676,896,532
+,37,302,429,411,907,697,717,566,894,311
+,1995,760,321,931,352,8,846,286,921,540
+,1909,942,150,717,413,456,659,210,908,557
+,944,807,633,667,452,714,353,908,831,800
+,410,414,794,202,902,308,86,37,550,342
+,1428,742,736,757,900,129,532,553,290,218
+,989,523,565,319,533,348,775,650,163,23
+,1784,911,815,552,606,264,247,852,792,311
+,710,432,517,113,749,61,861,381,265,642
+,421,362,126,48,774,666,963,127,459,305
+,1636,754,5,464,347,241,824,763,595,579
+,1599,915,960,642,681,546,864,609,239,358
+,1045,291,682,803,834,732,586,688,143,731
+,107,532,755,253,107,335,528,596,197,842
+,1826,369,465,100,150,728,435,848,421,83
+,328,63,435,909,133,487,219,456,79,378
+,341,538,412,602,572,531,797,404,892,270
+,1576,510,651,433,450,705,953,970,501,749
+,1377,426,843,166,147,517,130,496,728,468
+,948,991,721,525,883,541,120,711,217,466
+,981,33,764,160,966,572,378,943,974,121
+,503,872,418,112,123,378,585,296,41,535
+,1687,120,380,312,383,310,301,497,28,810
+,650,145,802,603,431,49,959,915,312,910
+,1844,220,187,838,757,500,2,125,560,357
+,599,891,45,427,492,586,317,579,463,921
+,185,800,386,486,854,737,853,620,135,780
+,284,516,651,471,779,460,683,459,152,887
+,1791,333,91,819,639,680,638,419,396,238
+,452,404,347,553,46,981,686,911,453,753
+,667,661,90,886,169,724,25,585,645,815
+,531,724,316,574,660,126,659,572,87,197
+,1347,633,554,590,775,54,980,583,534,193
+,179,487,514,918,19,123,674,958,544,184
+,774,19,281,805,210,251,849,722,859,908
+,1820,454,86,826,546,621,328,411,603,46
+,1718,882,956,23,348,447,184,424,24,880
+,1792,324,391,263,93,117,101,554,172,292
+,1610,187,261,786,91,157,314,975,417,694
+,1679,60,629,984,333,185,27,730,59,305
+,1142,101,327,145,422,914,331,264,384,964
+,1452,921,123,53,207,245,770,611,600,242
+,21,520,770,516,394,972,117,275,62,325
+,1801,566,416,67,495,29,417,648,239,935
+,589,19,275,567,986,600,691,103,252,781
+,881,667,804,128,311,581,416,456,85,866
+,856,512,208,801,991,145,382,553,172,800
+,690,550,975,433,984,933,568,462,42,1
+,1486,475,984,849,635,296,668,995,171,0
+,1079,955,943,493,279,612,256,859,696,389
+,26,862,647,217,599,860,522,288,46,165
+,256,546,576,71,307,91,404,715,125,850
+,618,742,569,286,899,442,215,625,516,980
+,1500,325,905,698,968,350,650,267,770,724
+,752,279,251,678,329,349,215,470,982,613
+,442,16,935,708,136,661,944,2,623,487
+,910,923,9,688,177,423,569,916,713,720
+,1264,780,402,551,83,806,897,664,666,79
+,612,31,913,852,835,687,455,688,126,361
+,1208,832,385,847,615,366,396,181,859,786
+,1673,713,8,127,473,379,958,197,455,9
+,1850,760,20,776,287,696,943,726,366,196
+,1884,835,628,640,310,827,735,226,239,505
+,512,371,37,287,504,926,720,723,620,214
+,278,200,840,653,405,113,890,284,582,512
+,965,174,565,198,675,756,579,688,698,617
+,412,179,66,602,131,763,66,130,265,955
+,1211,876,233,902,535,746,801,280,196,868
+,311,23,993,709,694,545,629,258,697,573
+,705,464,2,960,437,656,689,965,665,53
+,479,961,330,442,864,416,280,124,696,530
+,1269,507,370,529,777,44,905,738,229,48
+,1250,940,430,545,459,323,5,401,199,342
+,295,901,585,827,25,755,231,706,433,980
+,943,939,255,201,168,337,318,64,641,640
+,1072,28,491,442,827,24,606,816,641,957
+,1463,860,256,253,110,484,244,981,348,852
+,766,841,341,532,813,242,966,74,794,614
+,609,449,782,97,640,457,592,127,87,997
+,314,938,34,386,320,911,868,710,66,801
+,811,63,941,821,452,56,308,625,641,442
+,169,104,693,57,572,53,301,870,390,411
+,1981,632,770,420,238,885,613,806,675,638
+,1488,464,393,475,814,438,901,635,634,103
+,1704,666,960,691,801,26,464,529,336,601
+,846,110,105,12,609,730,69,607,808,860
+,272,926,586,129,652,521,262,363,431,492
+,930,635,455,190,248,140,816,45,61,130
+,152,598,446,525,982,667,772,366,318,597
+,1770,554,794,149,150,480,316,617,351,298
+,230,993,8,530,600,673,694,148,58,243
+,1524,838,855,572,879,55,432,352,200,999
+,1608,655,930,206,804,70,349,193,683,487
+,1860,708,478,614,709,339,872,592,579,986
+,202,630,306,428,336,166,107,465,897,808
+,1678,43,507,224,942,3,654,228,709,235
+,823,638,218,244,492,752,786,975,834,339
+,1870,757,384,210,409,188,845,6,371,10
+,603,366,30,568,117,145,297,450,199,646
+,640,934,783,368,44,998,30,203,202,290
+,1570,224,906,268,736,178,347,867,567,251
+,1237,200,22,180,863,268,932,103,21,851
+,1696,140,388,670,806,906,113,346,958,215
+,1886,467,245,378,828,381,676,175,963,539
+,239,818,638,902,444,899,728,66,121,147
+,703,946,133,813,194,196,545,387,711,383
+,72,613,439,1000,651,250,943,47,781,630
+,1105,193,874,548,301,808,152,335,253,54
+,1913,814,286,893,129,871,520,991,598,907
+,590,214,744,83,803,481,809,679,629,66
+,474,520,397,769,903,660,769,521,383,510
+,66,475,183,329,729,382,538,711,494,732
+,596,506,485,274,595,410,653,943,809,597
+,962,37,212,224,916,207,462,883,240,405
+,1048,313,435,910,386,585,160,957,862,383
+,1387,563,86,137,769,86,302,455,531,360
+,5,597,42,476,524,636,344,436,461,478
+,320,418,376,823,509,324,279,391,25,183
+,153,239,271,660,77,367,923,84,301,862
+,355,525,559,659,80,804,283,948,233,100
+,491,73,368,39,559,205,341,201,691,337
+,321,309,763,835,786,699,865,281,195,722
+,166,141,875,770,733,757,556,934,267,8
+,1530,306,288,842,354,801,413,968,415,841
+,1865,775,671,12,483,669,524,779,974,152
+,425,407,233,232,740,767,214,485,239,528
+,203,804,565,775,479,739,833,472,348,810
+,123,320,866,192,439,788,964,714,427,214
+,1497,460,873,571,30,383,142,591,894,131
+,878,965,755,9,511,829,674,854,363,347
+,608,429,435,702,770,413,781,797,707,550
+,1783,333,601,23,581,804,32,944,142,157
+,922,975,338,581,644,818,617,935,622,587
+,1262,400,390,209,971,400,65,547,395,192
+,462,111,336,583,985,462,654,916,311,95
+,852,106,691,566,181,32,846,705,617,500
+,242,191,203,71,933,986,395,290,210,238
+,1457,675,536,71,465,58,377,530,11,175
+,174,880,931,420,400,160,113,132,549,428
+,1700,760,70,398,978,925,886,211,133,891
+,1490,317,442,837,726,680,486,162,618,588
+,310,317,601,207,514,733,701,469,282,206
+,109,146,456,65,844,408,619,826,252,538
+,151,932,582,900,502,471,473,589,40,754
+,1007,294,661,902,940,467,355,717,862,728
+,820,304,400,627,843,829,870,179,425,255
+,133,921,632,750,442,468,393,932,674,187
+,233,582,97,402,715,968,44,245,906,891
+,978,280,903,643,550,298,682,938,68,714
+,517,739,923,222,930,505,421,780,566,124
+,105,78,773,107,516,784,798,333,419,461
+,377,258,212,518,45,473,27,74,654,711
+,1526,767,472,390,351,763,408,876,199,406
+,902,10,256,117,726,939,139,334,686,766
+,980,496,472,69,84,561,672,248,730,972
+,961,143,482,840,285,861,165,174,858,18
+,582,102,181,301,127,547,759,400,172,79
+,1167,781,11,693,279,157,451,366,182,221
+,1472,35,914,691,545,221,452,713,48,856
+,1121,830,535,656,678,733,675,918,105,399
+,1201,315,454,53,612,4,49,790,386,785
+,598,951,255,383,930,244,204,93,16,431
+,111,14,345,840,196,696,685,64,225,981
+,1919,98,816,855,850,680,171,741,171,45
+,561,524,110,835,334,330,575,641,194,639
+,259,956,554,404,961,438,123,237,218,108
+,28,331,177,15,411,669,323,12,398,217
+,1541,225,67,673,834,285,665,638,377,44
+,1461,906,223,420,308,785,613,511,104,729
+,739,810,944,870,582,175,257,982,97,614
+,465,646,713,397,694,946,995,789,710,136
+,606,179,650,779,905,704,325,871,682,493
+,397,343,18,623,933,599,459,391,523,655
+,205,238,515,601,721,13,238,21,631,777
+,579,127,316,242,755,438,775,249,634,81
+,1074,140,383,510,303,206,155,384,209,657
+,1507,243,945,742,612,968,454,756,898,336
+,991,284,325,659,805,778,40,533,810,424
+,443,832,295,768,24,234,867,750,339,350
+,1381,210,552,55,928,939,680,254,820,703
+,379,736,227,622,893,390,533,329,187,452
+,244,6,66,890,503,71,976,197,53,649
+,1869,960,209,128,93,177,606,562,851,814
+,394,209,241,519,80,436,742,478,318,168
+,1177,202,250,434,180,620,254,310,292,590
+,472,990,650,206,278,883,800,492,81,973
+,1512,368,407,386,171,482,451,432,517,624
+,1113,443,778,159,839,976,812,493,20,780
+,554,437,874,85,777,928,943,307,609,550
+,1798,566,744,179,263,389,474,313,464,290
+,1259,575,620,492,73,341,139,732,480,200
+,1273,938,194,4,13,882,512,747,742,383
+,871,414,947,425,962,404,993,760,382,393
+,1943,315,656,602,72,418,906,39,943,127
+,1804,954,579,166,198,781,446,980,261,789
+,1200,769,739,356,521,726,500,650,705,377
+,1194,59,666,394,948,434,753,252,248,489
+,627,943,832,370,646,723,692,28,714,681
+,498,151,267,619,466,966,697,150,260,253
+,1243,592,974,678,861,165,12,119,789,94
+,453,728,938,393,407,723,600,997,922,82
+,602,931,193,897,433,169,849,437,258,708
+,190,512,990,545,674,907,391,600,315,751
+,35,770,897,946,745,890,91,111,651,586
+,917,816,352,833,146,275,766,214,952,766
+,1005,715,315,6,172,835,503,1,99,71
+,975,713,427,537,426,670,295,750,441,174
+,492,383,190,720,137,202,498,186,514,971
+,1513,461,580,833,217,190,205,60,767,187
+,1527,777,196,265,923,892,418,451,641,934
+,494,111,889,651,170,81,300,87,386,127
+,1757,65,350,30,599,240,489,496,688,778
+,391,9,62,272,769,978,7,681,596,808
+,1058,99,216,534,810,7,384,617,532,985
+,20,272,954,497,484,775,345,618,439,344
+,565,698,911,351,322,836,245,963,369,681
+,572,387,625,58,998,364,894,338,825,102
+,697,467,891,715,411,742,855,909,947,142
+,529,616,125,889,543,286,973,716,769,834
+,726,377,462,633,702,674,890,486,527,423
+,434,192,3,653,980,964,832,329,17,648
+,998,894,46,992,826,753,333,694,454,239
+,1229,496,409,756,627,813,83,356,438,961
+,665,964,953,487,674,877,716,926,102,751
+,1729,300,621,199,729,146,890,532,897,585
+,58,877,733,516,32,130,509,815,89,308
+,1244,689,561,895,478,172,917,456,977,118
+,1819,678,553,246,249,216,174,771,966,675
+,1433,91,108,445,732,29,164,951,951,334
+,1328,392,784,287,225,736,263,681,487,974
+,923,686,126,681,139,944,547,648,742,503
+,1435,814,708,340,892,229,954,589,784,946
+,177,66,659,351,386,932,734,760,753,742
+,502,669,657,803,575,989,876,447,827,238
+,660,265,118,297,89,114,91,348,758,606
+,549,192,762,964,118,586,376,130,873,320
+,1248,389,590,754,1,318,63,604,548,194
+,1265,397,433,327,789,373,816,695,956,815
+,990,532,679,616,604,227,109,404,9,551
+,1255,471,323,148,835,965,303,857,224,511
+,553,466,150,615,290,149,764,681,869,820
+,1068,719,35,613,327,316,514,705,126,280
+,1322,723,587,489,646,848,220,506,298,721
+,891,385,60,829,341,156,847,733,215,868
+,1779,956,829,230,717,753,53,945,886,794
